Phylum,Class,Genus,number of occurrences
Arthropoda,Collembola,Isotomurus,128
Arthropoda,Collembola,Kaylathalia,2
Arthropoda,Collembola,Lepidocyrtus,203
Arthropoda,Collembola,Lipothrix,2
Arthropoda,Collembola,Megalothorax,2
Arthropoda,Collembola,Mesaphorura,2
Arthropoda,Collembola,Metisotoma,1
Arthropoda,Collembola,Micraphorura,2
Arthropoda,Collembola,Neanura,4
Arthropoda,Collembola,Neelides,1
Arthropoda,Collembola,Neelus,1
Arthropoda,Collembola,Novacerus,4
Arthropoda,Collembola,Onychiurus,2
Arthropoda,Collembola,Orchesella,349
Arthropoda,Collembola,Orthonychiurus,1
Arthropoda,Collembola,Paranurophorus,1
Arthropoda,Collembola,Parisotoma,10
Arthropoda,Collembola,Plutomurus,2
Arthropoda,Collembola,Podura,118
Arthropoda,Collembola,Pogonognathellus,5
Arthropoda,Collembola,Proisotoma,2
Arthropoda,Collembola,Pseudachorutes,1
Arthropoda,Collembola,Pseudisotoma,1
Arthropoda,Collembola,Pseudosinella,5
Arthropoda,Collembola,Ptenothrix,1
Arthropoda,Collembola,Salina,9
Arthropoda,Collembola,Seira,3
Arthropoda,Collembola,Sinella,4
Arthropoda,Collembola,Sminthurides,13
Arthropoda,Collembola,Sminthurinus,3
Arthropoda,Collembola,Sminthurus,3
Arthropoda,Collembola,Stenacidia,1
Arthropoda,Collembola,Tetrodontophora,6
Arthropoda,Collembola,Thalassaphorura,2
Arthropoda,Collembola,Tomocerus,146
Arthropoda,Collembola,Tullbergia,4
Arthropoda,Collembola,Vertagopus,3
Arthropoda,Collembola,Yuukianura,2
Arthropoda,Collembola,unknown,184
Arthropoda,Diplopoda,Abacion,132
Arthropoda,Diplopoda,Anaulaciulus,26
Arthropoda,Diplopoda,Appalachioria,1
Arthropoda,Diplopoda,Archicladosoma,1
Arthropoda,Diplopoda,Archispirostreptus,15
Arthropoda,Diplopoda,Asiomorpha,1
Arthropoda,Diplopoda,Bicoxidens,6
Arthropoda,Diplopoda,Brachycybe,9
Arthropoda,Diplopoda,Cacuminostreptus,1
Arthropoda,Diplopoda,Chaetaspis,2
Arthropoda,Diplopoda,Chamberlinius,2
Arthropoda,Diplopoda,Cleidogona,18
Arthropoda,Diplopoda,Cylindroiulus,17
Arthropoda,Diplopoda,Diplomaragna,17
Arthropoda,Diplopoda,Docodesmus,2
Arthropoda,Diplopoda,Doratogonus,1
Arthropoda,Diplopoda,Epanerchodus,15
Arthropoda,Diplopoda,Eudigraphis,22
Arthropoda,Diplopoda,Eurymerodesmus,2
Arthropoda,Diplopoda,Eutrichodesmus,1
Arthropoda,Diplopoda,Globotherium,3
Arthropoda,Diplopoda,Glomeridesmus,2
Arthropoda,Diplopoda,Glomeris,84
Arthropoda,Diplopoda,Glyphiulus,27
Arthropoda,Diplopoda,Hiltonius,10
Arthropoda,Diplopoda,Hyleoglomeris,27
Arthropoda,Diplopoda,Hypocambala,1
Arthropoda,Diplopoda,Julus,4
Arthropoda,Diplopoda,Nannaria,316
Arthropoda,Diplopoda,Narceus,126
Arthropoda,Diplopoda,Nemasoma,15
Arthropoda,Diplopoda,Ophyiulus,7
Arthropoda,Diplopoda,Orthocricus,2
