Metagenome sample,Phylum,Class,percent_TPM,ASV sample,18S reads
zr2760_71,Annelida,Polychaeta,3.337746585544735e-05,CN18Fc51_5_eDNA,0.002165739730062088
zr2760_61,Annelida,Polychaeta,1.1202425733792662e-05,CN18SESPkoa_SC36,0.0014013882502352957
zr2760_25,Annelida,Polychaeta,3.954818160931939e-05,CN18SESPkoa_SC37,0.00300978179082
zr2760_73,Annelida,Polychaeta,1.6307445694058176e-05,CN18SESPkoa_SC39,0.001549495307242602
zr2760_17,Annelida,Polychaeta,1.4010503072263238e-05,CN18SESPkoa_SC40,0.0036738841553974
zr2760_74,Annelida,Polychaeta,7.648805483966265e-06,CN18SESPkoa_SC41,0.0008640170144888309
zr2760_78,Annelida,Polychaeta,1.1164691508720724e-05,CN18SESPkoa_SC44,0.0017769880053307642
zr2760_23,Annelida,Polychaeta,8.58952472269032e-06,CN18SESPkoa_SC45,0.0027876574065173313
zr2760_10,Annelida,Polychaeta,1.197398488782331e-05,CN18SESPkoa_SC47,0.0021770266399311
zr2760_12,Annelida,Polychaeta,9.944365349569335e-06,CN18SESPkoa_SC49,0.0026467098658390304
zr2760_30,Annelida,Polychaeta,1.2370924203082442e-05,CN18Sc09_2_eDNA,0.0020361719966462237
