Phylum,Class,18S sample,18S reads
Annelida,Polychaeta,CN18FESPkoa_SC30,0.001039739
Annelida,Polychaeta,CN18FESPkoa_SC31,0.001800207
Annelida,Polychaeta,CN18FESPkoa_SC32,0.001136579
Annelida,Polychaeta,CN18FESPkoa_SC34,0.001368065
Annelida,Polychaeta,CN18FESPkoa_SC35,0.001600167
Annelida,Polychaeta,CN18FESPkoa_SC37,0.000998798
Annelida,Polychaeta,CN18FESPkoa_SC40,0.000389505
Annelida,Polychaeta,CN18FESPkoa_SC41,0.001096798
Annelida,Polychaeta,CN18FESPkoa_SC43,0.001152017
Annelida,Polychaeta,CN18FESPkoa_SC44,0.001112347
Annelida,Polychaeta,CN18FESPkoa_SC46,0.001227793
Annelida,Polychaeta,CN18FESPkoa_SC47,0.001569541
Annelida,Polychaeta,CN18FESPkoa_SC49,0.001138994
Annelida,Polychaeta,CN18FESPkoa_SC52,0.001020912
Annelida,Polychaeta,CN18FESPkoa_SC53,0.001457595
Annelida,Polychaeta,CN18FESPkoa_SC55,0.001060146
Annelida,Polychaeta,CN18FESPkoa_SC56,0.001460951
Annelida,Polychaeta,CN18FESPkoa_SC57,0.002739825
Annelida,Polychaeta,CN18FESPkoa_SC58,0.002258592
Annelida,Polychaeta,CN18Fc12_8_eDNA,0.002049371
Annelida,Polychaeta,CN18Fc19_5_eDNA,0.001124596
Annelida,Polychaeta,CN18Fc21_6_eDNA,0.002480271
Annelida,Polychaeta,CN18Fc22_6_eDNA,0.001522284
Annelida,Polychaeta,CN18Fc24_6_eDNA,0.000611685
Annelida,Polychaeta,CN18Fc25_5_eDNA,0.000726966
Annelida,Polychaeta,CN18Fc27_4_eDNA,0.000877823
Annelida,Polychaeta,CN18Fc29_6_eDNA,0.001679478
Annelida,Polychaeta,CN18Fc30_4_eDNA,0.002339101
Annelida,Polychaeta,CN18Fc32_4_eDNA,0.002281979
Annelida,Polychaeta,CN18Fc33_5_eDNA,0.001521105
Annelida,Polychaeta,CN18Fc35_5_eDNA,0.002456868
Annelida,Polychaeta,CN18Fc36_6_eDNA,0.001206607
Annelida,Polychaeta,CN18Fc38_5_eDNA,0.001521629
Annelida,Polychaeta,CN18Fc40_6_eDNA,0.000884865
Annelida,Polychaeta,CN18Fc41_6_eDNA,0.001159644
