Metagenome ID,Dataset,Sample type,Date collected,Depth (m),# Raw reads,# QC'd reads,Average QC'd read length (bp),# bps (QCd),Amplicon ID,# 18S QC'd reads,average 18S QC'd read length (bp),# bps (QC'd),# COI reads,average COI read length (bp),#bps (QC'd)
1903c122_100m-3,RREAS2019,CTD,6/2/19,100,29736530,"23,354,938",138.6,3236994407,CN19_Nisk_PB_Day_100m_3,51406,180,9253080,96271,313,30132823
1903c122_28m-1_NOAA1163b,RREAS2019,CTD,6/2/19,28,29161538,"22,909,354",140.1,3209600495,CN19_Nisk_PB_Day_28m_1,77497,180,13949460,102221,313,31995173
1903c122_28m-2,RREAS2019,CTD,6/2/19,28,19715718,"16,728,768",140.4,2348719027,CN19_Nisk_PB_Day_28m_2,58373,180,10507140,118128,313,36974064
1903c122_5m-1,RREAS2019,CTD,6/2/19,5,21693260,"17,884,012",139.8,2500184878,CN19_Nisk_PB_Day_5m_1,69916,180,12584880,115867,313,36266371
1903c122_5m-2_NOAA1163b,RREAS2019,CTD,6/2/19,5,36282438,"28,571,244",139.5,3985688538,CN19_Nisk_PB_Day_5m_2,61587,180,11085660,121774,313,38115262
1903c123_10m-1,RREAS2019,CTD,6/2/19,10,28497854,"22,371,884",140.1,3134300948,CN19_Nisk_PB_Dusk_10m_1,121528,180,21875040,105504,313,33022752
1903c123_10m-2,RREAS2019,CTD,6/2/19,10,31700668,"26,604,632",138.9,3695383385,CN19_Nisk_PB_Dusk_10m_2,88680,180,15962400,107402,313,33616826
1903c123_5m-2,RREAS2019,CTD,6/2/19,5,34791748,"27,717,852",139.8,3874955710,CN19_Nisk_PB_Dusk_5m_2,83675,180,15061500,102824,313,32183912
1903c123_70m-1,RREAS2019,CTD,6/2/19,70,39075938,"31,789,848",136.3,4332956282,CN19_Nisk_PB_Dusk_70m_1,62447,180,11240460,91275,313,28569075
1903c123_70m-2,RREAS2019,CTD,6/2/19,70,33167148,"26,183,692",140.5,3678808726,CN19_Nisk_PB_Dusk_70m_2,80123,180,14422140,114916,313,35968708
