Phylum,Class,COI sample,COI reads
Annelida,Polychaeta,Lasker18Sc129_19_D0122,0
Annelida,Polychaeta,Lasker18Sc129_3_D0116,0.004730505
Annelida,Polychaeta,Lasker18Sc129_5_D0117,2.14E-05
Annelida,Polychaeta,Lasker18Sc130_17_D0132,0
Annelida,Polychaeta,Lasker18Sc130_19_D0133,0
Annelida,Polychaeta,Lasker18Sc130_3_D0127,5.69E-05
Annelida,Polychaeta,Lasker18Sc130_5_D0128,0
Annelida,Polychaeta,Lasker18Sc132_17_D0142,0
Annelida,Polychaeta,Lasker18Sc132_19_D0143,0.006177027
Annelida,Polychaeta,Lasker18Sc132_3_D0137,0
Annelida,Polychaeta,Lasker18Sc132_5_D0138,0
Annelida,Polychaeta,Lasker18Sc133_17_D0152,0
Annelida,Polychaeta,Lasker18Sc133_19_D0153,0
Annelida,Polychaeta,Lasker18Sc133_3_D0147,0.006432582
Annelida,Polychaeta,Lasker18Sc133_5_D0148,0.003465031
Annelida,Polychaeta,Lasker18Sc134_17_D0163,3.16E-05
Annelida,Polychaeta,Lasker18Sc134_19_D0164,0
Annelida,Polychaeta,Lasker18Sc134_3_D0158,0
Annelida,Polychaeta,Lasker18Sc134_5_D0159,2.14E-05
Annelida,Polychaeta,Lasker18Sc135_17_D0173,0.00176947
Annelida,Polychaeta,Lasker18Sc135_19_D0174,0
Annelida,Polychaeta,Lasker18Sc158_17_D0275,1.80E-05
Annelida,Polychaeta,Lasker18Sc158_19_D0276,0.003771728
Annelida,Polychaeta,Lasker18Sc158_3_D0270,0.001072776
Annelida,Polychaeta,Lasker18Sc158_5_D0271,0.000141623
Annelida,nan,CN19_Buck1_SN_0m_1,0
Annelida,nan,CN19_Buck1_SN_0m_2,0
Annelida,nan,CN19_Buck2_SN_0m_1,0
Annelida,nan,CN19_Buck2_SN_0m_2,0
Annelida,nan,CN19_Buck3_SN_0m_1,0
Annelida,nan,CN19_Buck4_SM_Night_0m_1,0
Annelida,nan,CN19_Buck4_SM_Night_0m_2,0
Annelida,nan,CN19_Buck5_0m_1,0
Annelida,nan,CN19_Buck5_0m_2,0
Annelida,nan,CN19_Buck6_Dav_Night_0m_1,0
Annelida,nan,CN19_Buck6_Dav_Night_0m_2,0
Annelida,nan,CN19_Nisk_Dav_Dawn_100m_1,0
Annelida,nan,CN19_Nisk_Dav_Dawn_100m_2,0
Annelida,nan,CN19_Nisk_Dav_Dawn_100m_3,0
Annelida,nan,CN19_Nisk_Dav_Dawn_27m_1,0
Annelida,nan,CN19_Nisk_Dav_Dawn_27m_2,0
Annelida,nan,CN19_Nisk_Dav_Dawn_5m_1,0
Annelida,nan,CN19_Nisk_Dav_Dawn_5m_2,0
Annelida,nan,CN19_Nisk_Dav_Dusk_13m_1,0
Annelida,nan,CN19_Nisk_Dav_Dusk_13m_3,0
Annelida,nan,CN19_Nisk_Dav_Dusk_5m_1,0
Annelida,nan,CN19_Nisk_Dav_Dusk_5m_2,0
Annelida,nan,CN19_Nisk_Dav_Dusk_70m_1,0.000310002
Annelida,nan,CN19_Nisk_Dav_Dusk_70m_2,0
Annelida,nan,CN19_Nisk_Dav_Dusk_70m_3,0
Annelida,nan,CN19_Nisk_Dav_Predusk_12m_1,0
Annelida,nan,CN19_Nisk_Far_13m_1,0
Annelida,nan,CN19_Nisk_Far_13m_2,0
Annelida,nan,CN19_Nisk_Far_5m_1,0
Annelida,nan,CN19_Nisk_Far_5m_2,0
Annelida,nan,CN19_Nisk_Far_60m_1,0
Annelida,nan,CN19_Nisk_Far_60m_2,0
Annelida,nan,CN19_Nisk_Far_60m_3,0
Annelida,nan,CN19_Nisk_MO_Dawn_100m_1,0
Annelida,nan,CN19_Nisk_MO_Dawn_100m_2,0
Annelida,nan,CN19_Nisk_MO_Dawn_100m_3,0
Annelida,nan,CN19_Nisk_MO_Dawn_26m_1,0
Annelida,nan,CN19_Nisk_MO_Dawn_26m_2,0
Annelida,nan,CN19_Nisk_MO_Dawn_5m_1,0
Annelida,nan,CN19_Nisk_MO_Dawn_5m_2,0
